ticker,company_name,exchange,market_cap,industry
ACB,Ngân hàng Thương mại Cổ phần Á Châu,HOSE,1.22E+14,Ngân hàng
ACG,Công ty Cổ phần Gỗ An Cường,HOSE,5.12E+12,SX Phụ trợ
AGR,Công ty Cổ phần Chứng khoán AGRIBANK,HOSE,3.33E+12,Chứng khoán
ANV,Công ty Cổ phần Nam Việt,HOSE,6.65E+12,Chế biến Thủy sản
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,HOSE,3.10E+12,Vận tải - kho bãi
BAB,Ngân hàng Thương mại Cổ phần Bắc Á,HNX,1.21E+13,Ngân hàng
BAF,Công ty Cổ phần Nông nghiệp BAF Việt Nam,HOSE,1.11E+13,Thực phẩm - Đồ uống
BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,HOSE,5.75E+13,Bất động sản
BFC,Công ty Cổ phần Phân bón Bình Điền,HOSE,3.73E+12,SX Nhựa - Hóa chất
BHN,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,HOSE,6.90E+12,Thực phẩm - Đồ uống
BIC,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,HOSE,4.89E+12,Bảo hiểm
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,HOSE,2.84E+14,Ngân hàng
BMP,Công ty Cổ phần Nhựa Bình Minh,HOSE,1.24E+13,SX Nhựa - Hóa chất
BSI,Công ty Cổ phần Chứng khoán BIDV,HOSE,8.87E+12,Chứng khoán
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,HOSE,1.31E+14,SX Phụ trợ
BVH,Tập đoàn Bảo Việt,HOSE,5.29E+13,Bảo hiểm
BWE,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,HOSE,9.61E+12,Tiện ích
CDN,Công ty Cổ phần Cảng Đà Nẵng,HNX,3.07E+12,Vận tải - kho bãi
CEO,Công ty Cổ phần Tập đoàn C.E.O,HNX,9.59E+12,Bất động sản
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,HOSE,1.25E+13,Xây dựng
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,HOSE,6.62E+12,Công nghệ và thông tin
CRE,Công ty Cổ phần Bất động sản Thế Kỷ,HOSE,3.52E+12,Bất động sản
CRV,Công ty Cổ phần Tập đoàn Bất động sản CRV,HOSE,2.01E+13,Bất động sản
CTD,Công ty Cổ phần Xây dựng Coteccons,HOSE,8.84E+12,Xây dựng
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,HOSE,2.71E+14,Ngân hàng
CTR,Tổng Công ty Cổ phần Công trình Viettel,HOSE,9.85E+12,Công nghệ và thông tin
CTS,Công ty Cổ phần Chứng khoán Vietinbank,HOSE,5.72E+12,Chứng khoán
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,HOSE,8.89E+12,Thực phẩm - Đồ uống
DBD,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định (BIDIPHAR),HOSE,4.75E+12,Chăm sóc sức khỏe
DCM,Công ty Cổ phần - Tổng Công ty Phân bón Dầu Khí Cà Mau,HOSE,2.37E+13,SX Nhựa - Hóa chất
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,HOSE,2.02E+13,SX Nhựa - Hóa chất
DGW,Công ty Cổ phần Thế Giới Số,HOSE,1.01E+13,Bán buôn
DHC,Công ty Cổ phần Đông Hải Bến Tre,HOSE,3.55E+12,SX Phụ trợ
DHG,Công ty Cổ phần Dược Hậu Giang,HOSE,1.30E+13,Chăm sóc sức khỏe
DHT,Công ty Cổ phần Dược phẩm Hà Tây,HNX,6.43E+12,Chăm sóc sức khỏe
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,HOSE,1.13E+13,Bất động sản
DPG,Công ty Cổ phần Tập đoàn Đạt Phương,HOSE,5.04E+12,Xây dựng
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,HOSE,1.92E+13,SX Nhựa - Hóa chất
DPR,Công ty Cổ phần Cao su Đồng Phú,HOSE,3.54E+12,SX Nhựa - Hóa chất
DSC,Công ty Cổ phần Chứng khoán DSC,HOSE,3.58E+12,Chứng khoán
DSE,Công ty Cổ phần Chứng khoán DNSE,HOSE,1.01E+13,Chứng khoán
DTK,Tổng Công ty Điện lực TKV - Công ty Cổ phần,HNX,7.72E+12,Tiện ích
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,HOSE,1.64E+13,Bất động sản
DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,HOSE,4.11E+12,Bất động sản
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,HOSE,4.29E+13,Ngân hàng
EVF,Công ty Tài chính Tổng hợp Cổ phần Điện Lực,HOSE,1.05E+13,Ngân hàng
FPT,Công ty Cổ phần FPT,HOSE,1.28E+14,Công nghệ và thông tin
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,HOSE,2.57E+13,Bán lẻ
FTS,Công ty Cổ phần Chứng khoán FPT,HOSE,9.44E+12,Chứng khoán
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,HOSE,1.90E+14,Tiện ích
GEE,Công ty Cổ phần Điện lực Gelex,HOSE,6.88E+13,Thiết bị điện
GEG,Công ty Cổ phần Điện Gia Lai,HOSE,5.37E+12,Tiện ích
GEL,Công ty Cổ phần Hạ tầng GELEX,HOSE,2.93E+13,Bán buôn
GEX,Công ty Cổ phần Tập đoàn Gelex,HOSE,3.64E+13,Thiết bị điện
GMD,Công ty Cổ phần Gemadept,HOSE,3.16E+13,Vận tải - kho bãi
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,HOSE,1.31E+14,SX Nhựa - Hóa chất
HAG,Công ty Cổ phần Hoàng Anh Gia Lai,HOSE,2.07E+13,Nông - Lâm - Ngư
HAH,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,HOSE,9.02E+12,Vận tải - kho bãi
HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HOSE,2.95E+13,Chứng khoán
HDB,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,HOSE,1.34E+14,Ngân hàng
HDC,Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu,HOSE,3.70E+12,Bất động sản
HDG,Công ty Cổ phần Tập đoàn Hà Đô,HOSE,1.03E+13,Bất động sản
HHS,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy,HOSE,5.72E+12,Bán buôn
HHV,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,HOSE,6.89E+12,Xây dựng
HNA,Công ty Cổ phần Thủy điện Hủa Na,HOSE,5.18E+12,Tiện ích
HPA,Công ty Cổ phần Phát triển Nông nghiệp Hoà Phát,HOSE,1.07E+13,Nông - Lâm - Ngư
HPG,Công ty Cổ phần Tập đoàn Hòa Phát,HOSE,2.19E+14,Vật liệu xây dựng
HSG,Công ty Cổ phần Tập đoàn Hoa Sen,HOSE,1.00E+13,Vật liệu xây dựng
HT1,Công ty Cổ phần Xi măng VICEM Hà Tiên,HOSE,5.84E+12,Vật liệu xây dựng
HUT,Công ty Cổ phần Tasco,HNX,1.76E+13,Xây dựng
HVN,Tổng Công ty Hàng không Việt Nam - CTCP,HOSE,7.00E+13,Vận tải - kho bãi
IDC,Tổng Công ty IDICO - CTCP,HNX,1.76E+13,Tiện ích
IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,HOSE,6.48E+12,Bất động sản
IMP,Công ty Cổ phần Dược phẩm Imexpharm,HOSE,8.49E+12,Chăm sóc sức khỏe
IPA,Công ty Cổ phần Tập đoàn Đầu tư I.P.A,HNX,3.38E+12,Tài chính khác
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,HOSE,3.22E+13,Bất động sản
KDC,Công ty Cổ phần Tập đoàn KIDO,HOSE,1.38E+13,Thực phẩm - Đồ uống
KDH,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,HOSE,2.88E+13,Bất động sản
KLB,Ngân hàng Thương mại Cổ phần Kiên Long,HOSE,8.15E+12,Ngân hàng
KOS,Công ty Cổ phần KOSY,HOSE,8.36E+12,Bất động sản
LGC,Công ty Cổ phần Đầu tư Cầu đường CII,HOSE,1.29E+13,Xây dựng
LPB,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam,HOSE,1.41E+14,Ngân hàng
MBB,Ngân hàng Thương mại Cổ phần Quân đội,HOSE,2.12E+14,Ngân hàng
MBS,Công ty Cổ phần Chứng khoán MB,HNX,1.33E+13,Chứng khoán
MCH,Công ty Cổ phần Hàng Tiêu Dùng MaSan,HOSE,1.81E+14,Thực phẩm - Đồ uống
MCM,Công ty Cổ phần Giống bò sữa Mộc Châu,HOSE,3.06E+12,Thực phẩm - Đồ uống
MIG,Tổng Công ty Cổ phần Bảo hiểm Quân đội,HOSE,3.74E+12,Bảo hiểm
MSB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,HOSE,3.88E+13,Ngân hàng
MSH,Công ty Cổ phần May Sông Hồng,HOSE,4.29E+12,SX Hàng gia dụng
MSN,Công ty Cổ phần Tập đoàn Masan,HOSE,1.14E+14,Thực phẩm - Đồ uống
MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động,HOSE,1.26E+14,Bán lẻ
NAB,Ngân hàng Thương mại Cổ phần Nam Á,HOSE,2.32E+13,Ngân hàng
NAF,Công ty Cổ phần Nafoods Group,HOSE,3.10E+12,Thực phẩm - Đồ uống
NKG,Công ty Cổ phần Thép Nam Kim,HOSE,6.49E+12,Vật liệu xây dựng
NLG,Công ty Cổ phần Đầu tư Nam Long,HOSE,1.37E+13,Bất động sản
NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,HOSE,7.44E+12,Tiện ích
NTC,Công ty Cổ phần Khu Công nghiệp Nam Tân Uyên,HOSE,3.40E+12,Bất động sản
NTP,Công ty Cổ phần Nhựa Thiếu niên Tiền Phong,HNX,1.05E+13,SX Nhựa - Hóa chất
NVB,Ngân hàng Thương mại Cổ phần Quốc Dân,HNX,2.12E+13,Ngân hàng
NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,HOSE,3.95E+13,Bất động sản
OCB,Ngân hàng Thương mại Cổ phần Phương Đông,HOSE,3.05E+13,Ngân hàng
ORS,Công ty Cổ phần Chứng khoán Tiên Phong,HOSE,8.36E+12,Chứng khoán
PAN,Công ty Cổ phần Tập đoàn PAN,HOSE,7.06E+12,Thực phẩm - Đồ uống
PC1,Công ty Cổ phần Tập đoàn PC1,HOSE,1.08E+13,Xây dựng
PDN,Công ty Cổ phần Cảng Đồng Nai,HOSE,5.98E+12,Vận tải - kho bãi
PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,HOSE,1.61E+13,Bất động sản
PET,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,HOSE,5.03E+12,Bán buôn
PGV,Tổng Công ty Phát điện 3 - Công ty Cổ phần,HOSE,2.65E+13,Tiện ích
PHR,Công ty Cổ phần Cao su Phước Hòa,HOSE,8.40E+12,SX Nhựa - Hóa chất
PLX,Tập đoàn Xăng dầu Việt Nam,HOSE,5.09E+13,Bán buôn
PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,HOSE,3.82E+13,Bán lẻ
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,HOSE,4.02E+13,Tiện ích
PPC,Công ty Cổ phần Nhiệt điện Phả Lại,HOSE,3.29E+12,Tiện ích
PTB,Công ty Cổ phần Phú Tài,HOSE,3.96E+12,SX Phụ trợ
PTI,Tổng Công ty Cổ phần Bảo hiểm Bưu điện,HNX,3.53E+12,Bảo hiểm
PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí,HOSE,1.81E+13,Khai khoáng
PVI,Công ty Cổ phần PVI,HNX,1.80E+13,Bảo hiểm
PVS,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,HNX,1.97E+13,Khai khoáng
PVT,Tổng Công ty Cổ phần Vận tải Dầu khí,HOSE,1.04E+13,Vận tải - kho bãi
QCG,Công ty Cổ phần Quốc Cường Gia Lai,HOSE,3.84E+12,Bất động sản
REE,Công ty Cổ phần Cơ điện Lạnh,HOSE,3.51E+13,Xây dựng
SAB,Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn,HOSE,5.79E+13,Thực phẩm - Đồ uống
SBT,Công ty Cổ phần Thành Thành Công - Biên Hòa,HOSE,1.76E+13,Thực phẩm - Đồ uống
SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,HNX,5.91E+12,Xây dựng
SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,HOSE,5.12E+12,Vận tải - kho bãi
SHB,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội,HOSE,6.96E+13,Ngân hàng
SHP,Công ty Cổ phần Thủy điện Miền Nam,HOSE,3.46E+12,Tiện ích
SHS,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội,HNX,1.57E+13,Chứng khoán
SIP,Công ty Cổ phần Đầu tư Sài Gòn VRG,HOSE,1.46E+13,Tiện ích
SJS,Công ty Cổ phần SJ Group,HOSE,1.63E+13,Bất động sản
SSB,Ngân hàng Thương mại Cổ phần Đông Nam Á,HOSE,4.78E+13,Ngân hàng
SSI,Công ty Cổ phần Chứng khoán SSI,HOSE,7.06E+13,Chứng khoán
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,HOSE,1.28E+14,Ngân hàng
STG,Công ty Cổ phần Kho Vận Miền Nam,HOSE,3.55E+12,Vận tải - kho bãi
SZC,Công ty Cổ phần Sonadezi Châu Đức,HOSE,5.10E+12,Bất động sản
TAL,Công Ty Cổ Phần Đầu Tư Bất Động Sản Taseco,HOSE,1.59E+13,Bất động sản
TCB,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,HOSE,2.32E+14,Ngân hàng
TCH,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,HOSE,1.52E+13,Bất động sản
TCX,Công ty Cổ phần Chứng khoán Kỹ Thương,HOSE,1.18E+14,Chứng khoán
TDM,Công ty Cổ phần Nước Thủ Dầu Một,HOSE,6.38E+12,Tiện ích
TMS,Công ty Cổ phần Transimex,HOSE,7.01E+12,Vận tải - kho bãi
TPB,Ngân hàng Thương mại Cổ phần Tiên Phong,HOSE,4.51E+13,Ngân hàng
TRA,Công ty Cổ phần Traphaco,HOSE,3.18E+12,Chăm sóc sức khỏe
TVS,Công ty Cổ phần Chứng khoán Thiên Việt,HOSE,3.09E+12,Chứng khoán
VAB,Ngân hàng Thương mại Cổ phần Việt Á,HOSE,8.41E+12,Ngân hàng
VC3,Công ty Cổ phần Tập đoàn Nam Mê Kông,HNX,3.64E+12,Bất động sản
VCB,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,HOSE,4.98E+14,Ngân hàng
VCF,Công ty Cổ phần VinaCafé Biên Hòa,HOSE,8.11E+12,Thực phẩm - Đồ uống
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,HOSE,1.42E+13,Xây dựng
VCI,Công ty Cổ phần Chứng khoán Vietcap,HOSE,3.08E+13,Chứng khoán
VCK,Công ty Cổ phần Chứng Khoán VPS,HOSE,5.17E+13,Chứng khoán
VCS,Công ty Cổ phần VICOSTONE,HNX,6.38E+12,Vật liệu xây dựng
VDS,Công ty Cổ phần Chứng khoán Rồng Việt,HOSE,3.98E+12,Chứng khoán
VGC,Tổng Công ty Viglacera - Công ty Cổ phần,HOSE,1.99E+13,Vật liệu xây dựng
VHC,Công ty Cổ phần Vĩnh Hoàn,HOSE,1.40E+13,Chế biến Thủy sản
VHM,Công ty Cổ phần Vinhomes,HOSE,5.99E+14,Bất động sản
VIB,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,HOSE,5.85E+13,Ngân hàng
VIC,Tập đoàn Vingroup - Công ty CP,HOSE,1.49E+15,Bất động sản
VIF,Tổng Công ty Lâm nghiệp Việt Nam - Công ty Cổ phần,HNX,5.43E+12,Nông - Lâm - Ngư
VIX,Công ty Cổ phần Chứng khoán VIX,HOSE,2.61E+13,Chứng khoán
VJC,Công ty Cổ phần Hàng không Vietjet,HOSE,1.04E+14,Vận tải - kho bãi
VND,Công ty Cổ phần Chứng khoán VNDIRECT,HOSE,2.53E+13,Chứng khoán
VNM,Công ty Cổ phần Sữa Việt Nam,HOSE,1.29E+14,Thực phẩm - Đồ uống
VPB,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,HOSE,2.19E+14,Ngân hàng
VPI,Công ty Cổ phần Phát triển Bất động sản Văn Phú,HOSE,1.95E+13,Bất động sản
VPL,Công ty Cổ phần Vinpearl,HOSE,1.50E+14,"Dịch vụ lưu trú, ăn uống, giải trí"
VPX,Công ty Cổ phần Chứng khoán VPBank,HOSE,5.28E+13,Chứng khoán
VRE,Công ty Cổ phần Vincom Retail,HOSE,6.82E+13,Bất động sản
VSC,Công ty Cổ phần Container Việt Nam,HOSE,8.78E+12,Vận tải - kho bãi
VSH,Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh,HOSE,1.02E+13,Tiện ích
VTP,Tổng Công ty Cổ phần Bưu chính Viettel,HOSE,8.49E+12,Vận tải - kho bãi
VGI,,,,
