ticker,exchange,latest_close,last_session,adtv7,history_rows,outstanding_shares,listed_volume,cached_at,shares_reference,market_cap_est,market_cap_pct,adtv7_pct,combined_score,universe_rank,selection_source,selection_logic
HPG,HOSE,28.55,2026-04-21,41450457.14285714,80,7675465855,7675,2026-04-21 21:05:43,7675465855,219134550160.25,0.9906542056074766,0.9984423676012462,0.9945482866043613,1,KBS,50% market_cap_est + 50% 7d_adtv
VPB,HOSE,27.55,2026-04-21,15565057.142857144,80,7933923601,7934,2026-04-21 21:15:42,7933923601,218579595207.55002,0.9890965732087228,0.9875389408099688,0.9883177570093458,2,KBS,50% market_cap_est + 50% 7d_adtv
MBB,HOSE,26.3,2026-04-21,12943200.0,80,8054999909,8055,2026-04-21 21:07:26,8054999909,211846497606.7,0.9875389408099688,0.9828660436137072,0.9852024922118381,3,KBS,50% market_cap_est + 50% 7d_adtv
TCB,HOSE,32.7,2026-04-21,10971214.285714285,80,7086240414,7086,2026-04-21 21:12:52,7086240414,231720061537.80002,0.9922118380062306,0.9750778816199377,0.9836448598130841,4,KBS,50% market_cap_est + 50% 7d_adtv
HDB,HOSE,26.7,2026-04-21,11504800.0,80,5005276323,5005,2026-04-21 21:05:13,5005276323,133640877824.09999,0.9797507788161994,0.9797507788161994,0.9797507788161994,5,KBS,50% market_cap_est + 50% 7d_adtv
SHB,HOSE,15.15,2026-04-21,83643628.57142857,80,4593703838,4594,2026-04-21 21:11:52,4593703838,69594613145.7,0.9579439252336449,1.0,0.9789719626168225,6,KBS,50% market_cap_est + 50% 7d_adtv
BSR,HOSE,26.1,2026-04-21,11274114.285714285,80,5007299686,5007,2026-04-21 21:01:25,5007299686,130690521804.6,0.9781931464174455,0.9781931464174455,0.9781931464174455,7,KBS,50% market_cap_est + 50% 7d_adtv
SSI,HOSE,28.3,2026-04-21,22327171.42857143,80,2491097752,2493,2026-04-21 21:12:29,2491097752,70498066381.6,0.9610591900311527,0.9906542056074766,0.9758566978193146,8,KBS,50% market_cap_est + 50% 7d_adtv
FPT,HOSE,75.1,2026-04-21,9194457.142857144,80,1703507121,1704,2026-04-21 21:04:21,1703507121,127933384787.09999,0.9735202492211839,0.9672897196261683,0.9704049844236761,9,KBS,50% market_cap_est + 50% 7d_adtv
VHM,HOSE,145.8,2026-04-21,6504657.142857143,80,4107412004,4107,2026-04-21 21:15:06,4107412004,598860670183.2001,0.9984423676012462,0.940809968847352,0.969626168224299,10,KBS,50% market_cap_est + 50% 7d_adtv
BID,HOSE,40.4,2026-04-21,5956014.285714285,80,7021361917,7021,2026-04-21 21:01:10,7021361917,283663021446.8,0.9953271028037384,0.9392523364485982,0.9672897196261683,11,KBS,50% market_cap_est + 50% 7d_adtv
VIC,HOSE,193.7,2026-04-21,5348185.714285715,80,7733491896,7706,2026-04-21 21:15:09,7733491896,1497977380255.2,1.0,0.9330218068535826,0.9665109034267914,12,KBS,50% market_cap_est + 50% 7d_adtv
VCB,HOSE,59.6,2026-04-21,5830085.714285715,80,8355675094,8356,2026-04-21 21:14:38,8355675094,497998235602.4,0.9968847352024922,0.9361370716510904,0.9665109034267914,13,KBS,50% market_cap_est + 50% 7d_adtv
NVL,HOSE,17.7,2026-04-21,27819971.42857143,80,2232018549,2232,2026-04-21 21:08:44,2232018549,39506728317.299995,0.9361370716510904,0.9953271028037384,0.9657320872274144,14,KBS,50% market_cap_est + 50% 7d_adtv
ACB,HOSE,23.75,2026-04-21,8711228.57142857,80,5136656599,5137,2026-04-21 21:00:10,5136656599,121995594226.25,0.9688473520249221,0.9595015576323987,0.9641744548286604,15,KBS,50% market_cap_est + 50% 7d_adtv
CTG,HOSE,34.85,2026-04-21,5247542.857142857,80,7766944637,7767,2026-04-21 21:02:39,7766944637,270678020599.45,0.9937694704049844,0.9314641744548287,0.9626168224299065,16,KBS,50% market_cap_est + 50% 7d_adtv
MWG,HOSE,85.6,2026-04-21,7352242.857142857,80,1468423529,1470,2026-04-21 21:07:58,1468423529,125697054082.4,0.9704049844236761,0.9532710280373832,0.9618380062305296,17,KBS,50% market_cap_est + 50% 7d_adtv
EIB,HOSE,22.95,2026-04-21,12885228.57142857,80,1862720607,1869,2026-04-21 21:04:00,1862720607,42749437930.65,0.9392523364485982,0.9813084112149533,0.9602803738317758,18,KBS,50% market_cap_est + 50% 7d_adtv
VRE,HOSE,29.3,2026-04-21,9020471.42857143,80,2272318410,2329,2026-04-21 21:15:55,2272318410,66578929413.0,0.9548286604361371,0.9641744548286605,0.9595015576323989,19,KBS,50% market_cap_est + 50% 7d_adtv
MSN,HOSE,79.0,2026-04-21,6784185.714285715,80,1520491927,1446,2026-04-21 21:07:53,1520491927,120118862233.0,0.9672897196261683,0.9454828660436138,0.956386292834891,20,KBS,50% market_cap_est + 50% 7d_adtv
HCM,HOSE,27.3,2026-04-21,22406585.714285713,80,1079956671,1081,2026-04-21 21:05:09,1079956671,29482817118.3,0.9205607476635514,0.9922118380062306,0.956386292834891,21,KBS,50% market_cap_est + 50% 7d_adtv
POW,HOSE,13.1,2026-04-21,10925528.57142857,80,3067845688,3068,2026-04-21 21:09:58,3067845688,40188778512.799995,0.9376947040498442,0.9735202492211839,0.955607476635514,22,KBS,50% market_cap_est + 50% 7d_adtv
MSB,HOSE,12.45,2026-04-21,11238057.142857144,80,3120000000,3120,2026-04-21 21:07:51,3120000000,38844000000.0,0.9345794392523364,0.9766355140186916,0.955607476635514,23,KBS,50% market_cap_est + 50% 7d_adtv
VIX,HOSE,17.05,2026-04-21,37497657.14285714,80,1531429858,1531,2026-04-21 21:15:18,1531429858,26110879078.9,0.9143302180685359,0.9968847352024922,0.955607476635514,24,KBS,50% market_cap_est + 50% 7d_adtv
STB,HOSE,67.7,2026-04-21,5902042.857142857,80,1885215716,1885,2026-04-21 21:12:32,1885215716,127629103973.20001,0.9719626168224299,0.9376947040498442,0.9548286604361371,25,KBS,50% market_cap_est + 50% 7d_adtv
VIB,HOSE,17.2,2026-04-21,7898271.428571428,80,3404005710,3404,2026-04-21 21:15:07,3404005710,58548898212.0,0.9532710280373832,0.956386292834891,0.9548286604361371,26,KBS,50% market_cap_est + 50% 7d_adtv
GEX,HOSE,40.3,2026-04-21,9247500.0,80,902398948,902,2026-04-21 21:04:34,902398948,36366677604.399994,0.9314641744548287,0.9688473520249221,0.9501557632398754,27,KBS,50% market_cap_est + 50% 7d_adtv
VNM,HOSE,61.6,2026-04-21,3716471.4285714286,80,2089955445,2090,2026-04-21 21:15:35,2089955445,128741255412.0,0.9750778816199377,0.9221183800623053,0.9485981308411215,28,KBS,50% market_cap_est + 50% 7d_adtv
GVR,HOSE,32.65,2026-04-21,3499171.4285714286,80,4000000000,4000,2026-04-21 21:04:51,4000000000,130600000000.0,0.9766355140186916,0.9158878504672897,0.9462616822429907,29,KBS,50% market_cap_est + 50% 7d_adtv
TPB,HOSE,16.25,2026-04-21,6971900.0,80,2774046873,2774,2026-04-21 21:13:58,2774046873,45078261686.25,0.940809968847352,0.9485981308411215,0.9447040498442367,30,KBS,50% market_cap_est + 50% 7d_adtv
VND,HOSE,16.65,2026-04-21,9773485.714285715,80,1522299908,1522,2026-04-21 21:15:28,1522299908,25346293468.199997,0.9112149532710281,0.9704049844236761,0.9408099688473521,31,KBS,50% market_cap_est + 50% 7d_adtv
VCI,HOSE,26.8,2026-04-21,7556285.714285715,80,1147631925,1148,2026-04-21 21:14:44,1147631925,30756535590.0,0.9236760124610592,0.9548286604361371,0.9392523364485982,32,KBS,50% market_cap_est + 50% 7d_adtv
VCK,HOSE,34.0,2026-04-21,4310285.714285715,80,1521825700,1522,2026-04-21 21:14:46,1521825700,51742073800.0,0.9454828660436138,0.926791277258567,0.9361370716510904,33,KBS,50% market_cap_est + 50% 7d_adtv
DXG,HOSE,14.7,2026-04-21,14057314.285714285,80,1112384189,1114,2026-04-21 21:03:52,1112384189,16352047578.3,0.8862928348909658,0.985981308411215,0.9361370716510904,34,KBS,50% market_cap_est + 50% 7d_adtv
SHS,HNX,17.4,2026-04-21,17619400.0,80,899462220,899,2026-04-21 21:12:00,899462220,15650642627.999998,0.8800623052959502,0.9890965732087228,0.9345794392523366,35,KBS,50% market_cap_est + 50% 7d_adtv
CII,HOSE,18.6,2026-04-21,24915928.57142857,80,671985291,672,2026-04-21 21:02:00,671985291,12498926412.6,0.8644859813084113,0.9937694704049844,0.9291277258566979,36,KBS,50% market_cap_est + 50% 7d_adtv
HAG,HOSE,16.35,2026-04-21,6977685.714285715,80,1267399283,1267,2026-04-21 21:04:54,1267399283,20721978277.050003,0.9049844236760125,0.9501557632398754,0.927570093457944,37,KBS,50% market_cap_est + 50% 7d_adtv
KBC,HOSE,34.15,2026-04-21,4174114.285714286,80,941754759,942,2026-04-21 21:06:33,941754759,32160925019.85,0.9283489096573209,0.9252336448598131,0.9267912772585669,38,KBS,50% market_cap_est + 50% 7d_adtv
LPB,HOSE,47.05,2026-04-21,1390400.0,80,2987282100,2987,2026-04-21 21:07:20,2987282100,140551622805.0,0.9813084112149533,0.8707165109034268,0.92601246105919,39,KBS,50% market_cap_est + 50% 7d_adtv
TCH,HOSE,16.7,2026-04-21,10261757.142857144,80,912109224,912,2026-04-21 21:12:55,912109224,15232224040.8,0.8785046728971962,0.9719626168224299,0.9252336448598131,40,KBS,50% market_cap_est + 50% 7d_adtv
GEL,HOSE,32.9,2026-04-21,4333842.857142857,48,890000000,890,2026-04-21 21:04:32,890000000,29281000000.0,0.9190031152647975,0.9283489096573209,0.9236760124610592,41,KBS,50% market_cap_est + 50% 7d_adtv
GAS,HOSE,78.7,2026-04-21,1167457.142857143,80,2412949756,2413,2026-04-21 21:04:25,2412949756,189899145797.2,0.985981308411215,0.8598130841121495,0.9228971962616823,42,KBS,50% market_cap_est + 50% 7d_adtv
PDR,HOSE,16.15,2026-04-21,8875557.142857144,80,997809379,998,2026-04-21 21:09:08,997809379,16114621470.849998,0.883177570093458,0.9626168224299065,0.9228971962616823,43,KBS,50% market_cap_est + 50% 7d_adtv
PLX,HOSE,39.35,2026-04-21,2584071.4285714286,80,1270592235,1294,2026-04-21 21:09:42,1270592235,49997804447.25,0.9439252336448598,0.9003115264797508,0.9221183800623053,44,KBS,50% market_cap_est + 50% 7d_adtv
KDH,HOSE,25.7,2026-04-21,3878742.8571428573,80,1122214899,1122,2026-04-21 21:06:36,1122214899,28840922904.3,0.9174454828660437,0.9236760124610592,0.9205607476635514,45,KBS,50% market_cap_est + 50% 7d_adtv
VJC,HOSE,175.7,2026-04-21,1481228.5714285714,80,591611334,592,2026-04-21 21:15:19,591611334,103946111383.79999,0.9641744548286605,0.8738317757009346,0.9190031152647975,46,KBS,50% market_cap_est + 50% 7d_adtv
VCG,HOSE,22.0,2026-04-21,8762585.714285715,80,646468336,646,2026-04-21 21:14:43,646468336,14222303392.0,0.8753894080996885,0.9610591900311527,0.9182242990654206,47,KBS,50% market_cap_est + 50% 7d_adtv
VPL,HOSE,83.7,2026-04-21,1027814.2857142857,80,1793300377,1793,2026-04-21 21:15:50,1793300377,150099241554.9,0.9828660436137072,0.8473520249221184,0.9151090342679128,48,KBS,50% market_cap_est + 50% 7d_adtv
SSB,HOSE,16.8,2026-04-21,2038328.5714285714,80,2845000000,2845,2026-04-21 21:12:26,2845000000,47796000000.0,0.942367601246106,0.8862928348909658,0.9143302180685359,49,KBS,50% market_cap_est + 50% 7d_adtv
DCM,HOSE,44.75,2026-04-21,3527171.4285714286,80,529400000,529,2026-04-21 21:03:01,529400000,23690650000.0,0.9096573208722741,0.9174454828660437,0.9135514018691588,50,KBS,50% market_cap_est + 50% 7d_adtv
DIG,HOSE,14.15,2026-04-21,9070914.285714285,80,796431191,796,2026-04-21 21:03:16,796431191,11269501352.65,0.8582554517133957,0.9657320872274143,0.911993769470405,51,KBS,50% market_cap_est + 50% 7d_adtv
CEO,HNX,16.9,2026-04-21,13129485.714285715,80,567416075,567,2026-04-21 21:01:52,567416075,9589331667.5,0.8364485981308412,0.9844236760124611,0.9104361370716512,52,KBS,50% market_cap_est + 50% 7d_adtv
DPM,HOSE,28.2,2026-04-21,3707071.4285714286,80,679925021,680,2026-04-21 21:03:26,679925021,19173885592.2,0.8956386292834891,0.9205607476635514,0.9080996884735203,53,KBS,50% market_cap_est + 50% 7d_adtv
TCX,HOSE,51.0,2026-04-21,1026771.4285714285,80,2311583496,2312,2026-04-21 21:13:05,2311583496,117890758296.0,0.9657320872274143,0.8457943925233645,0.9057632398753894,54,KBS,50% market_cap_est + 50% 7d_adtv
VPX,HOSE,28.15,2026-04-21,1256828.5714285714,80,1875000000,1875,2026-04-21 21:15:52,1875000000,52781250000.0,0.9470404984423676,0.8644859813084113,0.9057632398753894,55,KBS,50% market_cap_est + 50% 7d_adtv
VPI,HOSE,60.9,2026-04-21,3114642.8571428573,80,320049577,320,2026-04-21 21:15:48,320049577,19491019239.3,0.897196261682243,0.9112149532710281,0.9042056074766356,56,KBS,50% market_cap_est + 50% 7d_adtv
OCB,HOSE,11.45,2026-04-21,2037300.0,80,2663052284,2663,2026-04-21 21:08:47,2663052284,30491948651.8,0.9221183800623053,0.8847352024922118,0.9034267912772586,57,KBS,50% market_cap_est + 50% 7d_adtv
DGC,HOSE,53.3,2026-04-21,2682814.285714286,80,379778413,380,2026-04-21 21:03:04,379778413,20242189412.899998,0.9034267912772586,0.9018691588785047,0.9026479750778816,58,KBS,50% market_cap_est + 50% 7d_adtv
PVS,HNX,38.5,2026-04-21,3033642.8571428573,80,511420099,511,2026-04-21 21:10:48,511420099,19689673811.5,0.8987538940809969,0.9065420560747663,0.9026479750778816,59,KBS,50% market_cap_est + 50% 7d_adtv
PVD,HOSE,32.5,2026-04-21,3061128.5714285714,80,555880006,556,2026-04-21 21:10:36,555880006,18066100195.0,0.8940809968847352,0.9096573208722741,0.9018691588785046,60,KBS,50% market_cap_est + 50% 7d_adtv
EVF,HOSE,13.75,2026-04-21,6692014.285714285,80,760565802,761,2026-04-21 21:04:06,760565802,10457779777.5,0.8520249221183801,0.9439252336448598,0.89797507788162,61,KBS,50% market_cap_est + 50% 7d_adtv
GMD,HOSE,74.0,2026-04-21,1235800.0,80,426495109,426,2026-04-21 21:04:44,426495109,31560638066.0,0.9252336448598131,0.8629283489096573,0.8940809968847352,62,KBS,50% market_cap_est + 50% 7d_adtv
HVN,HOSE,22.5,2026-04-21,759171.4285714285,80,3111498211,3111,2026-04-21 21:06:05,3111498211,70008709747.5,0.9595015576323987,0.8255451713395638,0.8925233644859814,63,KBS,50% market_cap_est + 50% 7d_adtv
GEE,HOSE,188.0,2026-04-21,787314.2857142857,80,365999956,366,2026-04-21 21:04:30,365999956,68807991728.0,0.956386292834891,0.8286604361370716,0.8925233644859814,64,KBS,50% market_cap_est + 50% 7d_adtv
HSG,HOSE,16.1,2026-04-21,6561300.0,80,620982309,621,2026-04-21 21:05:49,620982309,9997815174.900002,0.8426791277258567,0.942367601246106,0.8925233644859814,65,KBS,50% market_cap_est + 50% 7d_adtv
HUT,HNX,16.5,2026-04-21,2262871.4285714286,80,1068285581,1068,2026-04-21 21:06:02,1068285581,17626712086.5,0.8894080996884736,0.8925233644859814,0.8909657320872275,66,KBS,50% market_cap_est + 50% 7d_adtv
IDC,HNX,46.3,2026-04-21,2295542.8571428573,80,379498823,379,2026-04-21 21:06:12,379498823,17570795504.899998,0.8878504672897196,0.8940809968847352,0.8909657320872274,67,KBS,50% market_cap_est + 50% 7d_adtv
NAB,HOSE,13.5,2026-04-21,1435385.7142857143,80,1715686480,1716,2026-04-21 21:07:59,1715686480,23161767480.0,0.9080996884735203,0.8722741433021807,0.8901869158878505,68,KBS,50% market_cap_est + 50% 7d_adtv
PVT,HOSE,22.1,2026-04-21,5232471.428571428,80,469931235,470,2026-04-21 21:10:50,469931235,10385480293.5,0.8504672897196262,0.9299065420560748,0.8901869158878505,69,KBS,50% market_cap_est + 50% 7d_adtv
PNJ,HOSE,111.9,2026-04-21,964342.8571428572,80,341149107,341,2026-04-21 21:09:54,341149107,38174585073.3,0.9330218068535826,0.8442367601246106,0.8886292834890965,70,KBS,50% market_cap_est + 50% 7d_adtv
MBS,HNX,20.0,2026-04-21,3039400.0,80,667288940,667,2026-04-21 21:07:29,667288940,13345778800.0,0.8691588785046729,0.9080996884735203,0.8886292834890965,71,KBS,50% market_cap_est + 50% 7d_adtv
REE,HOSE,64.8,2026-04-21,923971.4285714285,80,541658139,542,2026-04-21 21:11:02,541658139,35099447407.2,0.9299065420560748,0.8426791277258567,0.8862928348909658,72,KBS,50% market_cap_est + 50% 7d_adtv
NLG,HOSE,28.15,2026-04-21,2370414.285714286,80,485097383,485,2026-04-21 21:08:28,485097383,13655491331.449999,0.8707165109034268,0.897196261682243,0.8839563862928349,73,KBS,50% market_cap_est + 50% 7d_adtv
HHV,HOSE,12.6,2026-04-21,8204071.428571428,80,547166296,547,2026-04-21 21:05:25,547166296,6894295329.599999,0.8099688473520249,0.9579439252336449,0.8839563862928349,74,KBS,50% market_cap_est + 50% 7d_adtv
BCM,HOSE,55.6,2026-04-21,630371.4285714285,80,1035000000,1035,2026-04-21 21:01:03,1035000000,57546000000.0,0.9501557632398754,0.8146417445482866,0.882398753894081,75,KBS,50% market_cap_est + 50% 7d_adtv
BVH,HOSE,71.2,2026-04-21,634085.7142857143,80,742322764,742,2026-04-21 21:01:32,742322764,52853380796.8,0.9485981308411215,0.8161993769470405,0.882398753894081,76,KBS,50% market_cap_est + 50% 7d_adtv
VSC,HOSE,23.45,2026-04-21,5773400.0,80,374370362,374,2026-04-21 21:15:58,374370362,8778984988.9,0.8302180685358256,0.9345794392523364,0.882398753894081,77,KBS,50% market_cap_est + 50% 7d_adtv
BAF,HOSE,36.65,2026-04-21,3024600.0,80,304021642,304,2026-04-21 21:00:52,304021642,11142393179.3,0.8566978193146417,0.9049844236760125,0.8808411214953271,78,KBS,50% market_cap_est + 50% 7d_adtv
NKG,HOSE,14.5,2026-04-21,6921842.857142857,80,447570881,448,2026-04-21 21:08:26,447570881,6489777774.5,0.8037383177570093,0.9470404984423676,0.8753894080996885,79,KBS,50% market_cap_est + 50% 7d_adtv
VGC,HOSE,44.3,2026-04-21,919757.1428571428,80,448350000,448,2026-04-21 21:14:57,448350000,19861905000.0,0.9003115264797508,0.839563862928349,0.8699376947040498,80,KBS,50% market_cap_est + 50% 7d_adtv
SAB,HOSE,45.15,2026-04-21,507042.85714285716,80,1282562372,1283,2026-04-21 21:11:05,1282562372,57907691095.799995,0.9517133956386293,0.7866043613707165,0.8691588785046729,81,KBS,50% market_cap_est + 50% 7d_adtv
DBC,HOSE,23.1,2026-04-21,2864114.285714286,80,384866667,385,2026-04-21 21:02:55,384866667,8890420007.7,0.8333333333333334,0.9034267912772586,0.868380062305296,82,KBS,50% market_cap_est + 50% 7d_adtv
HDG,HOSE,27.95,2026-04-21,1914871.4285714286,80,369963035,370,2026-04-21 21:05:16,369963035,10340466828.25,0.8489096573208723,0.883177570093458,0.8660436137071652,83,KBS,50% market_cap_est + 50% 7d_adtv
MCH,HOSE,140.1,2026-04-21,312414.28571428574,77,1294460962,1294,2026-04-21 21:07:33,1294460962,181353980776.19998,0.9844236760124611,0.7414330218068536,0.8629283489096573,84,KBS,50% market_cap_est + 50% 7d_adtv
DGW,HOSE,45.5,2026-04-21,1736614.2857142857,80,221168700,221,2026-04-21 21:03:05,221168700,10063175850.0,0.8442367601246106,0.8785046728971962,0.8613707165109035,85,KBS,50% market_cap_est + 50% 7d_adtv
IJC,HOSE,10.3,2026-04-21,3164628.5714285714,80,629580640,630,2026-04-21 21:06:17,629580640,6484680592.0,0.8021806853582555,0.9127725856697819,0.8574766355140186,86,KBS,50% market_cap_est + 50% 7d_adtv
HHS,HOSE,13.25,2026-04-21,3324100.0,80,431985968,432,2026-04-21 21:05:23,431985968,5723814076.0,0.7912772585669782,0.9143302180685359,0.852803738317757,87,KBS,50% market_cap_est + 50% 7d_adtv
VHC,HOSE,62.3,2026-04-21,775728.5714285715,80,224453159,224,2026-04-21 21:15:01,224453159,13983431805.699999,0.8738317757009346,0.8271028037383178,0.8504672897196262,88,KBS,50% market_cap_est + 50% 7d_adtv
ORS,HOSE,13.4,2026-04-21,1660985.7142857143,80,623930904,624,2026-04-21 21:08:54,623930904,8360674113.6,0.8208722741433022,0.8753894080996885,0.8481308411214954,89,KBS,50% market_cap_est + 50% 7d_adtv
SBT,HOSE,20.55,2026-04-21,480785.71428571426,80,876723922,855,2026-04-21 21:11:17,876723922,18016676597.100002,0.8909657320872274,0.778816199376947,0.8348909657320872,90,KBS,50% market_cap_est + 50% 7d_adtv
DXS,HOSE,7.1,2026-04-21,2573428.5714285714,80,579103124,579,2026-04-21 21:03:55,579103124,4111632180.3999996,0.7679127725856698,0.8987538940809969,0.8333333333333334,91,KBS,50% market_cap_est + 50% 7d_adtv
FRT,HOSE,151.0,2026-04-21,328700.0,80,170301785,170,2026-04-21 21:04:22,170301785,25715569535.0,0.9127725856697819,0.7523364485981309,0.8325545171339563,92,KBS,50% market_cap_est + 50% 7d_adtv
KHG,HOSE,5.46,2026-04-21,7292871.428571428,80,449435205,449,2026-04-21 21:06:39,449435205,2453916219.3,0.7040498442367601,0.9517133956386293,0.8278816199376947,93,KBS,50% market_cap_est + 50% 7d_adtv
HDC,HOSE,18.5,2026-04-21,2343971.4285714286,80,199754571,200,2026-04-21 21:05:15,199754571,3695459563.5,0.7585669781931464,0.8956386292834891,0.8271028037383178,94,KBS,50% market_cap_est + 50% 7d_adtv
FTS,HOSE,27.25,2026-04-21,645657.1428571428,80,346498009,346,2026-04-21 21:04:24,346498009,9442070745.25,0.8348909657320872,0.8193146417445483,0.8271028037383177,95,KBS,50% market_cap_est + 50% 7d_adtv
CTD,HOSE,81.3,2026-04-21,718557.1428571428,80,106500404,109,2026-04-21 21:02:36,106500404,8658482845.199999,0.8286604361370716,0.82398753894081,0.8263239875389408,96,KBS,50% market_cap_est + 50% 7d_adtv
HAH,HOSE,53.4,2026-04-21,598571.4285714285,80,185840401,169,2026-04-21 21:04:56,185840401,9923877413.4,0.8411214953271028,0.8021806853582555,0.8216510903426791,97,KBS,50% market_cap_est + 50% 7d_adtv
NVB,HNX,11.0,2026-04-21,304928.5714285714,80,1924632751,1928,2026-04-21 21:08:42,1924632751,21170960261.0,0.9065420560747663,0.735202492211838,0.8208722741433021,98,KBS,50% market_cap_est + 50% 7d_adtv
ANV,HOSE,24.95,2026-04-21,879871.4285714285,80,266255750,267,2026-04-21 21:00:34,266255750,6643080962.5,0.8068535825545171,0.8348909657320872,0.8208722741433021,99,KBS,50% market_cap_est + 50% 7d_adtv
